Permit,Permittee,Reissuance number,Estimated max years in business,Facility ID,County,DNR region,Address,Street,City,Zip,Status,Issued date,Year issued,Effective date,Effective date,Expiration date,Animal type,Icon,Number of animal units,Animal unit date,Proposed number of animal units,Date of proposed animal units,Township,Range,Section,Q,QQ,QQQ
0064220 ,Jim Herman Inc ,01 ,5,41471 ,Dane ,SC ,"233 East Main St, Marshall, WI 53559  ",233 East Main St, Marshall,53559,Current ,10/22/2010,2010,11/1/2010 ,11/1/2010,9/30/2015 ,Beef ,small_blue,"1,900",6/12/2009 ,"2,250",,,   ,,,,
0063916 ,"Roche Farms, Inc. ",01 ,5,38893 ,Dodge ,SC ,"N3432 Cty BB, Columbus, WI 53925  ",N3432 Cty BB, Columbus,53925,Expired ,6/30/2008,2008,7/1/2008 ,7/1/2008,6/30/2013 ,Beef ,small_blue,"1,504",3/28/2008 ,"1,504",,,   ,,,,
0063908 ,UW Arlington Agricultural Research Station ,01 ,5,38853 ,Columbia ,SC ,"N695 Hopkins Rd, Arlington, WI 53911  ",N695 Hopkins Rd, Arlington,53911,Expired ,6/30/2008,2008,7/1/2008 ,7/1/2008,6/30/2013 ,Beef ,small_blue,"1,425",,"1,880",,,   ,,,,
0058866 ,W C C Flats Inc ,01 ,5,11546 ,Sauk ,SC ,"E10941 River Rd, Sauk City, WI 53583 ",E10941 River Rd, Sauk City,53583,Expired ,6/30/2000,2000,7/1/2000 ,7/1/2000,3/31/2005 ,Beef ,small_blue,"1,530",11/9/2005 ,"1,530",,,   ,,,,
0062201 ,Kippley Farms ,02 ,10,21886 ,Dane ,SC ,"6137 CTY K, Waunakee, WI 53597  ",6137 CTY K, Waunakee,53597,Current ,9/1/2010,2010,12/1/2010 ,12/1/2010,11/30/2015 ,Beef ,small_blue,"2,094",6/4/2010 ,0,,,   ,,,,
0063312 ,Rueden Beef LLC ,02 ,10,33482 ,Brown ,NE ,"276 Crestview Rd, Kaukauna, WI 54130  ",276 Crestview Rd, Kaukauna,54130,Current ,6/25/2013,2013,7/1/2013 ,7/1/2013,6/30/2018 ,Beef ,small_blue,780,3/1/2013 ,0,,,   ,,,,
0063410 ,Skyline Blue Acres ,02 ,10,34101 ,Kewaunee ,NE ,"E612 Cty Rd BB, Denmark, WI 54208  ",E612 Cty Rd BB, Denmark,54208,Current ,2/13/2012,2012,3/1/2012 ,3/1/2012,2/28/2017 ,Beef ,small_blue,"1,300",2/18/2013 ,0,,,   ,,,,
0059099 ,ABS Global Inc ,03 ,15,16059 ,Dane ,SC ,"1525 River Rd, DeForest, WI 53532  ",1525 River Rd, DeForest,53532,Current ,7/23/2012,2012,8/1/2012 ,8/1/2012,6/30/2017 ,Beef ,small_blue,"1,281",11/23/2011 ,"1,281",,,   ,,,,
0059048 ,Calamity Knoll Farm ,03 ,15,11956 ,Rock ,SC ,"9819 S Gustafson Rd, Clinton, WI 53525  ",9819 S Gustafson Rd, Clinton,53525,Current ,4/1/2013,2013,4/1/2013 ,4/1/2013,3/31/2018 ,Beef ,small_blue,"2,013",2/5/2013 ,0,,1 ,13  E ,24 ,NW ,,
0056294 ,NABER LAND AND CATTLE INC ,05 ,20,5097 ,Jefferson ,SC ,"W6919 Grogan Rd, FORT ATKINSON, WI 53538 ",W6919 Grogan Rd, FORT ATKINSON,53538,Current ,5/1/2009,2009,5/1/2009 ,5/1/2009,3/31/2014 ,Beef ,small_blue,"2,000",2/25/2009 ,0,,5 ,14  E ,31 ,SE ,,
0064416 ,Deans Eggs - Nature Link Farms LLC ,01 ,5,42347 ,Jefferson ,SC ,"N5485 Harvey Road, Jefferson, WI 53549  ",N5485 Harvey Road, Jefferson,53549,Current ,7/1/2010,2010,7/1/2010 ,7/1/2010,6/30/2015 ,Chickens ,small_yellow,"1,218",6/26/2009 ,"2,706",,,   ,,,,
0062553 ,"Pulsfus Poultry, Inc. ",03 ,15,24569 ,Columbia ,SC ,"W5403 St. Hwy 60, Poynette, WI 53955  ",W5403 St. Hwy 60, Poynette,53955,Current ,3/20/2013,2013,4/1/2013 ,4/1/2013,3/31/2018 ,Chickens ,small_yellow,"1,047",10/4/2012 ,0,,,   ,,,,
0056308 ,Daybreak Foods Inc. - Creekwood Farm ,05 ,20,5098 ,Jefferson ,SC ,"N5505 Crossman Road, LAKE MILLS, WI 53551  ",N5505 Crossman Road, LAKE MILLS,53551,Current ,12/18/2012,2012,1/1/2013 ,1/1/2013,12/31/2017 ,Chickens ,small_yellow,"11,316",10/5/2012 ,0,,7 ,13  E ,27 ,NW ,,
